SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
2593,SH000492,01.12.2019,00:00:00,143.6,32.0,296.0,0.0,471.6
2594,SH000492,01.12.2019,00:30:00,134.4,23.6,275.2,0.0,433.2
2595,SH000492,01.12.2019,01:00:00,143.2,35.6,296.0,0.0,474.79999999999995
2596,SH000492,01.12.2019,01:30:00,139.2,36.8,288.0,0.0,464.0
2597,SH000492,01.12.2019,02:00:00,139.6,38.4,289.6,0.0,467.6
2598,SH000492,01.12.2019,02:30:00,134.4,28.0,276.0,0.0,438.4
2599,SH000492,01.12.2019,03:00:00,135.2,29.6,277.6,0.0,442.4
2600,SH000492,01.12.2019,03:30:00,138.4,31.2,284.8,0.0,454.4
2601,SH000492,01.12.2019,04:00:00,139.6,31.6,287.2,0.0,458.4
2602,SH000492,01.12.2019,04:30:00,130.0,32.8,269.6,0.0,432.40000000000003
2603,SH000492,01.12.2019,05:00:00,136.4,30.8,280.0,0.0,447.20000000000005
2604,SH000492,01.12.2019,05:30:00,136.4,27.6,279.2,0.0,443.2
2605,SH000492,01.12.2019,06:00:00,138.4,30.8,284.8,0.0,454.0
2606,SH000492,01.12.2019,06:30:00,133.2,27.6,272.8,0.0,433.6
2607,SH000492,01.12.2019,07:00:00,133.6,28.8,274.4,0.0,436.79999999999995
2608,SH000492,01.12.2019,07:30:00,128.8,18.4,261.6,0.0,408.80000000000007
2609,SH000492,01.12.2019,08:00:00,128.0,12.4,256.0,0.0,396.4
2610,SH000492,01.12.2019,08:30:00,126.8,13.6,255.2,0.0,395.6
2611,SH000492,01.12.2019,09:00:00,129.2,14.8,260.0,0.0,404.0
2612,SH000492,01.12.2019,09:30:00,131.6,14.4,264.8,0.0,410.8
2613,SH000492,01.12.2019,10:00:00,146.8,33.6,302.4,0.0,482.79999999999995
2614,SH000492,01.12.2019,10:30:00,159.6,42.4,330.4,0.0,532.4
2615,SH000492,01.12.2019,11:00:00,154.4,40.4,320.0,0.0,514.8
2616,SH000492,01.12.2019,11:30:00,158.8,41.2,327.2,0.0,527.2
2617,SH000492,01.12.2019,12:00:00,158.8,42.0,328.8,0.0,529.6
2618,SH000492,01.12.2019,12:30:00,163.6,44.0,339.2,0.0,546.8
2619,SH000492,01.12.2019,13:00:00,166.8,28.8,339.2,0.0,534.8
2620,SH000492,01.12.2019,13:30:00,167.6,26.8,340.0,0.0,534.4
2621,SH000492,01.12.2019,14:00:00,169.6,26.8,343.2,0.0,539.6
2622,SH000492,01.12.2019,14:30:00,170.4,27.2,345.6,0.0,543.2
2623,SH000492,01.12.2019,15:00:00,169.2,27.2,343.2,0.0,539.5999999999999
2624,SH000492,01.12.2019,15:30:00,170.4,28.0,345.6,0.0,544.0
2625,SH000492,01.12.2019,16:00:00,167.2,28.0,339.2,0.0,534.4
2626,SH000492,01.12.2019,16:30:00,162.0,27.6,328.8,0.0,518.4
2627,SH000492,01.12.2019,17:00:00,159.2,28.0,323.2,0.0,510.4
2628,SH000492,01.12.2019,17:30:00,156.4,26.8,316.8,0.0,500.0
2629,SH000492,01.12.2019,18:00:00,154.8,26.0,314.4,0.0,495.2
2630,SH000492,01.12.2019,18:30:00,157.2,26.4,318.4,0.0,502.0
2631,SH000492,01.12.2019,19:00:00,154.0,26.8,312.8,0.0,493.6
2632,SH000492,01.12.2019,19:30:00,150.8,27.2,306.4,0.0,484.4
2633,SH000492,01.12.2019,20:00:00,153.6,26.8,312.0,0.0,492.4
2634,SH000492,01.12.2019,20:30:00,151.6,26.4,308.0,0.0,486.0
2635,SH000492,01.12.2019,21:00:00,150.8,24.8,306.4,0.0,482.0
2636,SH000492,01.12.2019,21:30:00,147.6,21.2,298.4,0.0,467.19999999999993
2637,SH000492,01.12.2019,22:00:00,157.6,40.4,325.6,0.0,523.6
2638,SH000492,01.12.2019,22:30:00,146.8,34.0,301.6,0.0,482.40000000000003
2639,SH000492,01.12.2019,23:00:00,152.0,37.6,313.6,0.0,503.20000000000005
2640,SH000492,01.12.2019,23:30:00,155.6,39.6,322.4,0.0,517.5999999999999
2641,SH000492,02.12.2019,00:00:00,152.4,39.2,314.4,0.0,506.0
2642,SH000492,02.12.2019,00:30:00,147.2,39.2,305.6,0.0,492.0
2643,SH000492,02.12.2019,01:00:00,144.4,36.4,299.2,0.0,480.0
2644,SH000492,02.12.2019,01:30:00,146.8,41.2,304.8,0.0,492.8
2645,SH000492,02.12.2019,02:00:00,152.4,42.8,316.8,0.0,512.0
2646,SH000492,02.12.2019,02:30:00,142.4,37.2,294.4,0.0,474.0
2647,SH000492,02.12.2019,03:00:00,140.0,33.6,289.6,0.0,463.20000000000005
2648,SH000492,02.12.2019,03:30:00,142.4,37.2,295.2,0.0,474.8
2649,SH000492,02.12.2019,04:00:00,150.0,40.0,311.2,0.0,501.2
2650,SH000492,02.12.2019,04:30:00,148.8,42.8,309.6,0.0,501.20000000000005
2651,SH000492,02.12.2019,05:00:00,145.2,40.4,301.6,0.0,487.20000000000005
2652,SH000492,02.12.2019,05:30:00,141.6,38.4,292.8,0.0,472.8
2653,SH000492,02.12.2019,06:00:00,139.6,37.2,289.6,0.0,466.40000000000003
2654,SH000492,02.12.2019,06:30:00,140.8,37.2,291.2,0.0,469.2
2655,SH000492,02.12.2019,07:00:00,130.4,23.2,265.6,0.0,419.20000000000005
2656,SH000492,02.12.2019,07:30:00,140.8,31.2,289.6,0.0,461.6
2657,SH000492,02.12.2019,08:00:00,133.2,24.4,271.2,0.0,428.79999999999995
2658,SH000492,02.12.2019,08:30:00,145.2,32.8,298.4,0.0,476.4
2659,SH000492,02.12.2019,09:00:00,134.8,24.0,274.4,0.0,433.2
2660,SH000492,02.12.2019,09:30:00,138.4,28.0,283.2,0.0,449.6
2661,SH000492,02.12.2019,10:00:00,126.8,17.2,256.8,0.0,400.8
2662,SH000492,02.12.2019,10:30:00,132.4,12.4,264.8,0.0,409.6
2663,SH000492,02.12.2019,11:00:00,147.2,30.0,301.6,0.0,478.8
2664,SH000492,02.12.2019,11:30:00,154.0,28.4,313.6,0.0,496.0
2665,SH000492,02.12.2019,12:00:00,158.0,26.4,320.8,0.0,505.20000000000005
2666,SH000492,02.12.2019,12:30:00,153.6,22.0,310.4,0.0,486.0
2667,SH000492,02.12.2019,13:00:00,160.4,29.2,326.4,0.0,516.0
2668,SH000492,02.12.2019,13:30:00,165.6,26.8,336.0,0.0,528.4
2669,SH000492,02.12.2019,14:00:00,159.6,27.2,324.0,0.0,510.79999999999995
2670,SH000492,02.12.2019,14:30:00,158.8,26.8,322.4,0.0,508.0
2671,SH000492,02.12.2019,15:00:00,138.4,26.4,282.4,0.0,447.2
2672,SH000492,02.12.2019,15:30:00,154.4,28.8,315.2,0.0,498.4
2673,SH000492,02.12.2019,16:00:00,152.8,24.8,310.4,0.0,488.0
2674,SH000492,02.12.2019,16:30:00,149.6,29.6,305.6,0.0,484.8
2675,SH000492,02.12.2019,17:00:00,158.0,23.2,320.0,0.0,501.2
2676,SH000492,02.12.2019,17:30:00,141.2,25.6,288.0,0.0,454.79999999999995
2677,SH000492,02.12.2019,18:00:00,143.6,30.8,293.6,0.0,468.0
2678,SH000492,02.12.2019,18:30:00,139.6,28.4,286.4,0.0,454.4
2679,SH000492,02.12.2019,19:00:00,147.2,27.6,300.0,0.0,474.79999999999995
2680,SH000492,02.12.2019,19:30:00,139.2,24.8,284.0,0.0,448.0
2681,SH000492,02.12.2019,20:00:00,143.6,32.4,295.2,0.0,471.2
2682,SH000492,02.12.2019,20:30:00,134.0,23.2,273.6,0.0,430.8
2683,SH000492,02.12.2019,21:00:00,146.8,33.2,301.6,0.0,481.6
2684,SH000492,02.12.2019,21:30:00,141.2,31.6,290.4,0.0,463.19999999999993
2685,SH000492,02.12.2019,22:00:00,138.4,31.2,284.8,0.0,454.4
2686,SH000492,02.12.2019,22:30:00,135.6,24.8,276.8,0.0,437.20000000000005
2687,SH000492,02.12.2019,23:00:00,142.8,28.8,292.0,0.0,463.6
2688,SH000492,02.12.2019,23:30:00,132.8,25.2,272.0,0.0,430.0
2689,SH000492,03.12.2019,00:00:00,142.8,33.2,293.6,0.0,469.6
2690,SH000492,03.12.2019,00:30:00,133.6,24.8,272.8,0.0,431.20000000000005
2691,SH000492,03.12.2019,01:00:00,139.6,32.0,287.2,0.0,458.79999999999995
2692,SH000492,03.12.2019,01:30:00,136.0,30.8,280.0,0.0,446.8
2693,SH000492,03.12.2019,02:00:00,130.0,26.8,266.4,0.0,423.2
2694,SH000492,03.12.2019,02:30:00,132.0,28.4,271.2,0.0,431.6
2695,SH000492,03.12.2019,03:00:00,133.6,28.8,275.2,0.0,437.6
2696,SH000492,03.12.2019,03:30:00,128.4,27.6,264.0,0.0,420.0
2697,SH000492,03.12.2019,04:00:00,139.2,32.0,286.4,0.0,457.59999999999997
2698,SH000492,03.12.2019,04:30:00,127.2,26.4,260.8,0.0,414.4
2699,SH000492,03.12.2019,05:00:00,134.8,32.0,278.4,0.0,445.2
2700,SH000492,03.12.2019,05:30:00,133.6,27.2,273.6,0.0,434.4
2701,SH000492,03.12.2019,06:00:00,129.2,25.2,264.8,0.0,419.2
2702,SH000492,03.12.2019,06:30:00,134.8,26.0,275.2,0.0,436.0
2703,SH000492,03.12.2019,07:00:00,129.6,24.0,264.8,0.0,418.4
2704,SH000492,03.12.2019,07:30:00,136.8,29.6,280.8,0.0,447.20000000000005
2705,SH000492,03.12.2019,08:00:00,130.8,22.0,265.6,0.0,418.40000000000003
2706,SH000492,03.12.2019,08:30:00,144.0,33.6,296.8,0.0,474.4
2707,SH000492,03.12.2019,09:00:00,133.6,23.2,272.0,0.0,428.79999999999995
2708,SH000492,03.12.2019,09:30:00,143.6,35.2,296.0,0.0,474.8
2709,SH000492,03.12.2019,10:00:00,137.2,29.6,281.6,0.0,448.4
2710,SH000492,03.12.2019,10:30:00,140.4,26.4,286.4,0.0,453.2
2711,SH000492,03.12.2019,11:00:00,140.0,26.8,284.8,0.0,451.6
2712,SH000492,03.12.2019,11:30:00,148.0,30.8,303.2,0.0,482.0
2713,SH000492,03.12.2019,12:00:00,141.2,24.8,286.4,0.0,452.4
