Time Snap,Actual Capacity,Entering Fluid temp,Leaving Fluid temp,EVAP PRESS COMP1,EVAP PRESS COMP2,COND REF PRESS COMP1,COND REF PRESS COMP2,OIL Pressure COMP1,OIL Pressure COMP2,DP,COND SAT TEMP COMP 1,COND SAT TEMP COMP 2,EVAP SAT TEMP COM1,EVAP SAT TEMP COM2,EXPV Position COM 1,EXPV Position COM 2,SUCTION TEMP COMP 1,SUCTION TEMP COMP 2,DISCHARGE TEMP COMP 1,DISCHARGE TEMP COMP 2,SUCTION SH    COMP 1,SUCTION SH    COMP 2,DISCH     SH    COMP 1,DISCH    SH    COMP 2
02-Jan-18 1:45:00 PM IST,45,11.5,8.4,272.2,272.2,671.8,1163,304.5,1083.1,0.27,30.1,48.2,6.9,3.5,5,55,25.4,8.9,58.6,61.1,18.5,5.4,28.5,12.9
02-Jan-18 1:45:10 PM IST,45,11.5,8.4,272.2,272.2,671.8,1156.1,304.5,1075.5,0.26,30.1,48,6.9,3.2,5,56,25.4,8.9,58.6,61.1,18.5,5.7,28.5,13.1
02-Jan-18 1:45:20 PM IST,45,11.5,8.3,272.2,272.2,669.7,1154.1,304.5,1070,0.27,30.1,47.9,6.9,3.1,5,57,25.4,9.2,58.6,61.2,18.5,6.1,28.5,13.3
02-Jan-18 1:45:31 PM IST,45,11.5,8.2,272.2,272.2,669.7,1141,305.9,1060.4,0.26,30.1,47.6,7,3.2,5,58,25.4,9.6,58.6,61.4,18.4,6.4,28.5,13.8
02-Jan-18 1:45:40 PM IST,45,11.6,8.3,273.5,273.5,669.7,1139.6,305.9,1059,0.27,30.1,47.6,7,3.4,5,58,25.4,9.7,58.6,61.4,18.4,6.3,28.5,13.8
02-Jan-18 1:45:50 PM IST,45,11.6,8.4,273.5,273.5,670.4,1150.6,305.9,1071.4,0.26,30.1,48.1,7.1,3.6,5,58,25.4,9.6,58.6,61.3,18.3,6,28.5,13.2
02-Jan-18 1:46:01 PM IST,45,11.6,8.4,273.5,273.5,670.4,1162.3,306.6,1082.4,0.26,30.1,48.1,7.1,3.6,5,57,25.4,9.6,58.6,61.3,18.3,6,28.5,13.2
02-Jan-18 1:46:10 PM IST,45,11.6,8.4,273.5,273.5,670.4,1162.3,306.6,1082.4,0.26,30.1,48.3,7.1,3.8,5,56,25.4,9.3,58.6,61.2,18.3,5.5,28.5,12.9
02-Jan-18 1:46:20 PM IST,45,11.6,8.4,273.5,273.5,670.4,1167.9,305.9,1087.2,0.26,30.1,48.4,7.1,3.7,5,55,25.4,9,58.6,61.1,18.3,5.3,28.5,12.7
02-Jan-18 1:46:33 PM IST,45,11.7,8.4,273.5,273.5,672.5,1168.5,305.2,1087.9,0.26,30.1,48.4,7.1,3.4,5,56,25.4,8.8,58.6,61.1,18.3,5.4,28.5,12.7
02-Jan-18 1:46:40 PM IST,45,11.7,8.4,273.5,273.5,670.4,1162.3,305.2,1080.4,0.26,30.1,48.3,7.1,3.2,5,57,25.4,9,58.6,61.2,18.3,5.8,28.5,12.9
02-Jan-18 1:46:50 PM IST,45,11.7,8.4,274.2,274.2,669.7,1154.8,306.6,1082.4,0.26,30.1,48.3,7.1,3.2,5,57,25.4,9.7,58.6,61.4,18.3,6.5,28.5,13.1
02-Jan-18 1:47:02 PM IST,45,11.6,8.4,274.2,274.2,669,1154.8,306.6,1072.8,0.26,30,48.2,7.1,3.3,5,58,25.4,9.7,58.6,61.4,18.3,6.4,28.6,13.2
02-Jan-18 1:47:10 PM IST,45,11.6,8.4,274.2,274.2,669,1154.1,306.6,1072.1,0.26,30,48.2,7.1,3.6,5,57,25.4,9.7,58.6,61.4,18.3,6.1,28.6,13.2
02-Jan-18 1:47:20 PM IST,45,11.6,8.6,273.5,273.5,669,1148.6,305.9,1070.7,0.27,30,48.1,7,3.6,5,57,25.4,9.3,58.6,61.3,18.4,5.7,28.6,13.2
02-Jan-18 1:47:31 PM IST,45,11.5,8.4,272.8,272.8,669,1148.6,304.5,1070.7,0.26,30,47.9,6.9,3.6,5,57,25.4,9.3,58.6,61.3,18.5,5.7,28.6,13.4
02-Jan-18 1:47:40 PM IST,42.5,11.5,8.4,272.8,272.8,669.7,1148.6,304.5,1068.6,0.27,30,47.8,6.9,3.4,5,57,25.4,9.2,58.6,61.2,18.5,5.8,28.6,13.4
02-Jan-18 1:47:50 PM IST,42.5,11.5,8.4,272.8,272.8,669.7,1143.1,304.5,1063.8,0.27,30,47.7,6.9,3.3,5,58,25.4,9.4,58.6,61.3,18.5,6.1,28.6,13.6
02-Jan-18 1:48:01 PM IST,40,11.5,8.3,272.8,272.8,670.4,1146.5,305.2,1063.8,0.25,30.1,47.7,6.9,3.4,5,58,25.4,9.4,58.6,61.3,18.5,6,28.5,13.6
02-Jan-18 1:48:10 PM IST,40,11.5,8.3,272.8,272.8,670.4,1141.7,304.5,1061.1,0.27,30.1,47.6,6.9,3.4,5,58,25.4,9.4,58.6,61.3,18.5,6,28.5,13.7
02-Jan-18 1:48:20 PM IST,40,11.5,8.4,272.8,272.8,670.4,1141.7,304.5,1061.1,0.26,30.1,47.6,6.9,3.4,5,57,25.4,9.4,58.6,61.2,18.5,6,28.5,13.6
02-Jan-18 1:48:30 PM IST,40,11.5,8.4,272.8,272.8,669.7,1136.8,304.5,1060.4,0.25,30.1,47.5,6.9,3.4,5,57,25.4,9.2,58.6,61.1,18.5,5.8,28.5,13.6
02-Jan-18 1:48:40 PM IST,40,11.4,8.4,272.8,272.8,669,1138.2,303.8,1061.7,0.26,30.1,47.6,6.9,3.4,5,57,25.4,9.1,58.6,61,18.5,5.7,28.5,13.4
