SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead
1,SH000198,01.12.2019,00:00:00,358.4,44.8,720,0
2,SH000198,01.12.2019,00:30:00,348.8,44,704,0
3,SH000198,01.12.2019,01:00:00,346.4,44,699.2,0
4,SH000198,01.12.2019,01:30:00,343.2,44,692.8,0
5,SH000198,01.12.2019,02:00:00,339.2,43.2,684.8,0
6,SH000198,01.12.2019,02:30:00,331.2,43.2,668.8,0
7,SH000198,01.12.2019,03:00:00,334.4,43.2,675.2,0
8,SH000198,01.12.2019,03:30:00,329.6,43.2,665.6,0
9,SH000198,01.12.2019,04:00:00,330.4,43.2,667.2,0
10,SH000198,01.12.2019,04:30:00,328,43.2,662.4,0
11,SH000198,01.12.2019,05:00:00,328,43.2,662.4,0
12,SH000198,01.12.2019,05:30:00,331.2,43.2,668.8,0
13,SH000198,01.12.2019,06:00:00,334.4,43.2,675.2,0
14,SH000198,01.12.2019,06:30:00,336.8,42.4,680,0
15,SH000198,01.12.2019,07:00:00,343.2,44.8,691.2,0
16,SH000198,01.12.2019,07:30:00,341.6,40,688,0
17,SH000198,01.12.2019,08:00:00,352.8,44.8,712,0
18,SH000198,01.12.2019,08:30:00,355.2,44.8,716.8,0
19,SH000198,01.12.2019,09:00:00,359.2,48,724.8,0
20,SH000198,01.12.2019,09:30:00,357.6,48,721.6,0
21,SH000198,01.12.2019,10:00:00,355.2,45.6,716.8,0
22,SH000198,01.12.2019,10:30:00,345.6,40,696,0
23,SH000198,01.12.2019,11:00:00,353.6,45.6,712,0
24,SH000198,01.12.2019,11:30:00,355.2,45.6,715.2,0
25,SH000198,01.12.2019,12:00:00,347.2,40.8,700.8,0
26,SH000198,01.12.2019,12:30:00,359.2,48,724.8,0
27,SH000198,01.12.2019,13:00:00,358.4,48,723.2,0
28,SH000198,01.12.2019,13:30:00,358.4,48.8,723.2,0
29,SH000198,01.12.2019,14:00:00,360.8,49.6,728,0
30,SH000198,01.12.2019,14:30:00,358.4,48,723.2,0
31,SH000198,01.12.2019,15:00:00,358.4,49.6,724.8,0
32,SH000198,01.12.2019,15:30:00,352,44,710.4,0
33,SH000198,01.12.2019,16:00:00,356.8,49.6,720,0
34,SH000198,01.12.2019,16:30:00,355.2,49.6,716.8,0
35,SH000198,01.12.2019,17:00:00,354.4,48.8,715.2,0
36,SH000198,01.12.2019,17:30:00,348.8,44,702.4,0
37,SH000198,01.12.2019,18:00:00,352,44,708.8,0
38,SH000198,01.12.2019,18:30:00,356,48,720,0
39,SH000198,01.12.2019,19:00:00,357.6,48,721.6,0
40,SH000198,01.12.2019,19:30:00,356,48,718.4,0
41,SH000198,01.12.2019,20:00:00,355.2,44,715.2,0
42,SH000198,01.12.2019,20:30:00,358.4,48.8,723.2,0
43,SH000198,01.12.2019,21:00:00,346.4,38.4,696,0
44,SH000198,01.12.2019,21:30:00,357.6,43.2,720,0
45,SH000198,01.12.2019,22:00:00,345.6,34.4,696,0
46,SH000198,01.12.2019,22:30:00,352.8,40.8,712,0
47,SH000198,01.12.2019,23:00:00,354.4,43.2,713.6,0
48,SH000198,01.12.2019,23:30:00,351.2,43.2,705.6,0
49,SH000198,02.12.2019,00:00:00,346.4,43.2,697.6,0
50,SH000198,02.12.2019,00:30:00,330.4,33.6,664,0
51,SH000198,02.12.2019,01:00:00,324,32.8,651.2,0
52,SH000198,02.12.2019,01:30:00,324,37.6,654.4,0
53,SH000198,02.12.2019,02:00:00,320,37.6,644.8,0
54,SH000198,02.12.2019,02:30:00,309.6,31.2,624,0
55,SH000198,02.12.2019,03:00:00,309.6,30.4,624,0
56,SH000198,02.12.2019,03:30:00,313.6,35.2,632,0
57,SH000198,02.12.2019,04:00:00,313.6,36.8,632,0
58,SH000198,02.12.2019,04:30:00,304,30.4,611.2,0
59,SH000198,02.12.2019,05:00:00,310.4,32,625.6,0
60,SH000198,02.12.2019,05:30:00,314.4,35.2,635.2,0
61,SH000198,02.12.2019,06:00:00,306.4,28.8,616,0
62,SH000198,02.12.2019,06:30:00,327.2,36.8,659.2,0
63,SH000198,02.12.2019,07:00:00,325.6,36,654.4,0
64,SH000198,02.12.2019,07:30:00,327.2,31.2,657.6,0
65,SH000198,02.12.2019,08:00:00,339.2,38.4,683.2,0
66,SH000198,02.12.2019,08:30:00,333.6,33.6,672,0
67,SH000198,02.12.2019,09:00:00,341.6,38.4,688,0
68,SH000198,02.12.2019,09:30:00,342.4,38.4,691.2,0
69,SH000198,02.12.2019,10:00:00,348.8,39.2,702.4,0
70,SH000198,02.12.2019,10:30:00,361.6,45.6,728,0
71,SH000198,02.12.2019,11:00:00,363.2,46.4,732.8,0
72,SH000198,02.12.2019,11:30:00,362.4,47.2,731.2,0
73,SH000198,02.12.2019,12:00:00,364.8,48,736,0
74,SH000198,02.12.2019,12:30:00,364,48.8,736,0
75,SH000198,02.12.2019,13:00:00,366.4,50.4,740.8,0
76,SH000198,02.12.2019,13:30:00,371.2,51.2,750.4,0
77,SH000198,02.12.2019,14:00:00,372.8,51.2,752,0
78,SH000198,02.12.2019,14:30:00,373.6,50.4,753.6,0
79,SH000198,02.12.2019,15:00:00,371.2,50.4,748.8,0
80,SH000198,02.12.2019,15:30:00,367.2,48.8,740.8,0
81,SH000198,02.12.2019,16:00:00,370.4,50.4,747.2,0
82,SH000198,02.12.2019,16:30:00,369.6,50.4,745.6,0
83,SH000198,02.12.2019,17:00:00,369.6,50.4,745.6,0
84,SH000198,02.12.2019,17:30:00,366.4,49.6,740.8,0
85,SH000198,02.12.2019,18:00:00,366.4,48.8,740.8,0
86,SH000198,02.12.2019,18:30:00,366.4,48.8,739.2,0
87,SH000198,02.12.2019,19:00:00,368,48.8,744,0
88,SH000198,02.12.2019,19:30:00,372,51.2,750.4,0
89,SH000198,02.12.2019,20:00:00,369.6,48,744,0
90,SH000198,02.12.2019,20:30:00,370.4,47.2,747.2,0
91,SH000198,02.12.2019,21:00:00,368.8,48,744,0
92,SH000198,02.12.2019,21:30:00,371.2,47.2,748.8,0
93,SH000198,02.12.2019,22:00:00,370.4,47.2,747.2,0
94,SH000198,02.12.2019,22:30:00,369.6,46.4,742.4,0
95,SH000198,02.12.2019,23:00:00,364.8,46.4,736,0
96,SH000198,02.12.2019,23:30:00,360,45.6,726.4,0
97,SH000198,03.12.2019,00:00:00,350.4,41.6,707.2,0
98,SH000198,03.12.2019,00:30:00,351.2,45.6,708.8,0
99,SH000198,03.12.2019,01:00:00,347.2,44.8,700.8,0
100,SH000198,03.12.2019,01:30:00,338.4,44.8,683.2,0
101,SH000198,03.12.2019,02:00:00,336.8,44.8,680,0
102,SH000198,03.12.2019,02:30:00,332.8,44.8,672,0
103,SH000198,03.12.2019,03:00:00,329.6,44.8,665.6,0
104,SH000198,03.12.2019,03:30:00,329.6,44.8,665.6,0
105,SH000198,03.12.2019,04:00:00,328,44.8,662.4,0
106,SH000198,03.12.2019,04:30:00,321.6,39.2,648,0
107,SH000198,03.12.2019,05:00:00,321.6,39.2,648,0
108,SH000198,03.12.2019,05:30:00,326.4,39.2,659.2,0
109,SH000198,03.12.2019,06:00:00,328.8,39.2,662.4,0
110,SH000198,03.12.2019,06:30:00,339.2,43.2,684.8,0
111,SH000198,03.12.2019,07:00:00,345.6,43.2,697.6,0
112,SH000198,03.12.2019,07:30:00,349.6,44,705.6,0
113,SH000198,03.12.2019,08:00:00,352,44.8,710.4,0
114,SH000198,03.12.2019,08:30:00,356.8,45.6,720,0
115,SH000198,03.12.2019,09:00:00,358.4,46.4,723.2,0
116,SH000198,03.12.2019,09:30:00,361.6,46.4,729.6,0
117,SH000198,03.12.2019,10:00:00,357.6,48,721.6,0
118,SH000198,03.12.2019,10:30:00,351.2,45.6,708.8,0
119,SH000198,03.12.2019,11:00:00,355.2,46.4,715.2,0
120,SH000198,03.12.2019,11:30:00,356,47.2,718.4,0
121,SH000198,03.12.2019,12:00:00,357.6,48,721.6,0
122,SH000198,03.12.2019,12:30:00,360,49.6,726.4,0
123,SH000198,03.12.2019,13:00:00,357.6,49.6,723.2,0
124,SH000198,03.12.2019,13:30:00,360,48.8,728,0
125,SH000198,03.12.2019,14:00:00,360,48,726.4,0
126,SH000198,03.12.2019,14:30:00,360,47.2,726.4,0
127,SH000198,03.12.2019,15:00:00,357.6,46.4,721.6,0
128,SH000198,03.12.2019,15:30:00,344.8,36,692.8,0
129,SH000198,03.12.2019,16:00:00,362.4,48,731.2,0
130,SH000198,03.12.2019,16:30:00,360,48,726.4,0
131,SH000198,03.12.2019,17:00:00,360.8,48,728,0
132,SH000198,03.12.2019,17:30:00,359.2,48,724.8,0
133,SH000198,03.12.2019,18:00:00,360,47.2,726.4,0
134,SH000198,03.12.2019,18:30:00,360.8,47.2,726.4,0
135,SH000198,03.12.2019,19:00:00,360.8,48,728,0
136,SH000198,03.12.2019,19:30:00,362.4,48,731.2,0
137,SH000198,03.12.2019,20:00:00,362.4,48,731.2,0
138,SH000198,03.12.2019,20:30:00,364,48.8,734.4,0
139,SH000198,03.12.2019,21:00:00,364.8,48,736,0
140,SH000198,03.12.2019,21:30:00,364,48,734.4,0
141,SH000198,03.12.2019,22:00:00,364,48.8,734.4,0
142,SH000198,03.12.2019,22:30:00,361.6,47.2,729.6,0
143,SH000198,03.12.2019,23:00:00,358.4,48,723.2,0
144,SH000198,03.12.2019,23:30:00,344,40.8,692.8,0
145,SH000198,04.12.2019,00:00:00,349.6,46.4,704,0
146,SH000198,04.12.2019,00:30:00,342.4,44,691.2,0
147,SH000198,04.12.2019,01:00:00,337.6,44,681.6,0
148,SH000198,04.12.2019,01:30:00,333.6,44.8,672,0
149,SH000198,04.12.2019,02:00:00,328,43.2,662.4,0
150,SH000198,04.12.2019,02:30:00,309.6,22.4,619.2,0
151,SH000198,04.12.2019,03:00:00,304,19.2,609.6,0
152,SH000198,04.12.2019,03:30:00,303.2,19.2,608,0
153,SH000198,04.12.2019,04:00:00,302.4,19.2,608,0
154,SH000198,04.12.2019,04:30:00,303.2,19.2,606.4,0
155,SH000198,04.12.2019,05:00:00,303.2,18.4,606.4,0
156,SH000198,04.12.2019,05:30:00,305.6,19.2,611.2,0
157,SH000198,04.12.2019,06:00:00,308.8,19.2,619.2,0
158,SH000198,04.12.2019,06:30:00,312.8,19.2,628.8,0
159,SH000198,04.12.2019,07:00:00,318.4,20,638.4,0
160,SH000198,04.12.2019,07:30:00,321.6,20.8,646.4,0
161,SH000198,04.12.2019,08:00:00,327.2,21.6,656,0
162,SH000198,04.12.2019,08:30:00,330.4,22.4,662.4,0
163,SH000198,04.12.2019,09:00:00,332,22.4,665.6,0
164,SH000198,04.12.2019,09:30:00,333.6,22.4,670.4,0
165,SH000198,04.12.2019,10:00:00,340,26.4,681.6,0
166,SH000198,04.12.2019,10:30:00,360,44.8,724.8,0
167,SH000198,04.12.2019,11:00:00,366.4,50.4,739.2,0
168,SH000198,04.12.2019,11:30:00,364.8,51.2,736,0
169,SH000198,04.12.2019,12:00:00,364.8,51.2,737.6,0
170,SH000198,04.12.2019,12:30:00,365.6,52,737.6,0
171,SH000198,04.12.2019,13:00:00,371.2,54.4,750.4,0
172,SH000198,04.12.2019,13:30:00,369.6,51.2,745.6,0
173,SH000198,04.12.2019,14:00:00,371.2,50.4,748.8,0
174,SH000198,04.12.2019,14:30:00,370.4,50.4,747.2,0
175,SH000198,04.12.2019,15:00:00,363.2,48,732.8,0
176,SH000198,04.12.2019,15:30:00,360.8,48,728,0
177,SH000198,04.12.2019,16:00:00,358.4,48,723.2,0
178,SH000198,04.12.2019,16:30:00,355.2,46.4,716.8,0
179,SH000198,04.12.2019,17:00:00,345.6,36.8,694.4,0
180,SH000198,04.12.2019,17:30:00,357.6,47.2,721.6,0
181,SH000198,04.12.2019,18:00:00,345.6,36,694.4,0
182,SH000198,04.12.2019,18:30:00,352,42.4,708.8,0
183,SH000198,04.12.2019,19:00:00,355.2,41.6,715.2,0
184,SH000198,04.12.2019,19:30:00,363.2,48.8,732.8,0
185,SH000198,04.12.2019,20:00:00,364.8,49.6,736,0
186,SH000198,04.12.2019,20:30:00,364.8,49.6,737.6,0
187,SH000198,04.12.2019,21:00:00,363.2,48.8,732.8,0
188,SH000198,04.12.2019,21:30:00,352,37.6,707.2,0
189,SH000198,04.12.2019,22:00:00,365.6,49.6,737.6,0
190,SH000198,04.12.2019,22:30:00,361.6,48.8,731.2,0
191,SH000198,04.12.2019,23:00:00,356.8,47.2,720,0
192,SH000198,04.12.2019,23:30:00,340.8,36,684.8,0
193,SH000198,05.12.2019,00:00:00,341.6,39.2,686.4,0
194,SH000198,05.12.2019,00:30:00,336.8,39.2,680,0
195,SH000198,05.12.2019,01:00:00,336,44,678.4,0
196,SH000198,05.12.2019,01:30:00,322.4,37.6,649.6,0
197,SH000198,05.12.2019,02:00:00,312.8,32,630.4,0
198,SH000198,05.12.2019,02:30:00,322.4,39.2,649.6,0
199,SH000198,05.12.2019,03:00:00,312,34.4,627.2,0
200,SH000198,05.12.2019,03:30:00,316.8,36,640,0
201,SH000198,05.12.2019,04:00:00,305.6,30.4,616,0
202,SH000198,05.12.2019,04:30:00,312.8,34.4,630.4,0
203,SH000198,05.12.2019,05:00:00,316,35.2,635.2,0
204,SH000198,05.12.2019,05:30:00,320.8,38.4,644.8,0
205,SH000198,05.12.2019,06:00:00,311.2,29.6,625.6,0
206,SH000198,05.12.2019,06:30:00,327.2,36.8,657.6,0
207,SH000198,05.12.2019,07:00:00,336,41.6,676.8,0
208,SH000198,05.12.2019,07:30:00,331.2,33.6,667.2,0
209,SH000198,05.12.2019,08:00:00,334.4,36,673.6,0
210,SH000198,05.12.2019,08:30:00,332.8,32,668.8,0
211,SH000198,05.12.2019,09:00:00,344,39.2,692.8,0
212,SH000198,05.12.2019,09:30:00,336,32.8,675.2,0
213,SH000198,05.12.2019,10:00:00,340,37.6,684.8,0
214,SH000198,05.12.2019,10:30:00,326.4,29.6,656,0
215,SH000198,05.12.2019,11:00:00,344.8,40,694.4,0
216,SH000198,05.12.2019,11:30:00,336,35.2,675.2,0
217,SH000198,05.12.2019,12:00:00,336,35.2,675.2,0
218,SH000198,05.12.2019,12:30:00,343.2,40,691.2,0
219,SH000198,05.12.2019,13:00:00,340,40,686.4,0
220,SH000198,05.12.2019,13:30:00,337.6,35.2,680,0
221,SH000198,05.12.2019,14:00:00,346.4,41.6,697.6,0
222,SH000198,05.12.2019,14:30:00,348.8,44,702.4,0
223,SH000198,05.12.2019,15:00:00,343.2,37.6,691.2,0
224,SH000198,05.12.2019,15:30:00,349.6,44,705.6,0
225,SH000198,05.12.2019,16:00:00,339.2,35.2,683.2,0
226,SH000198,05.12.2019,16:30:00,343.2,40,689.6,0
227,SH000198,05.12.2019,17:00:00,343.2,41.6,691.2,0
228,SH000198,05.12.2019,17:30:00,340,36.8,683.2,0
229,SH000198,05.12.2019,18:00:00,337.6,36,680,0
230,SH000198,05.12.2019,18:30:00,347.2,40.8,699.2,0
231,SH000198,05.12.2019,19:00:00,345.6,40.8,696,0
232,SH000198,05.12.2019,19:30:00,341.6,36.8,688,0
233,SH000198,05.12.2019,20:00:00,344,39.2,692.8,0
234,SH000198,05.12.2019,20:30:00,351.2,42.4,707.2,0
235,SH000198,05.12.2019,21:00:00,344.8,40.8,694.4,0
236,SH000198,05.12.2019,21:30:00,340,36,684.8,0
237,SH000198,05.12.2019,22:00:00,349.6,43.2,707.2,0
238,SH000198,05.12.2019,22:30:00,346.4,42.4,699.2,0
239,SH000198,05.12.2019,23:00:00,340,36.8,683.2,0
240,SH000198,05.12.2019,23:30:00,332.8,34.4,672,0
241,SH000198,06.12.2019,00:00:00,329.6,34.4,664,0
242,SH000198,06.12.2019,00:30:00,322.4,33.6,648,0
243,SH000198,06.12.2019,01:00:00,319.2,32,644.8,0
244,SH000198,06.12.2019,01:30:00,318.4,36,640,0
245,SH000198,06.12.2019,02:00:00,314.4,36,633.6,0
246,SH000198,06.12.2019,02:30:00,301.6,28,608,0
247,SH000198,06.12.2019,03:00:00,308.8,35.2,620.8,0
248,SH000198,06.12.2019,03:30:00,296,16.8,593.6,0
249,SH000198,06.12.2019,04:00:00,297.6,17.6,596.8,0
250,SH000198,06.12.2019,04:30:00,293.6,16,587.2,0
251,SH000198,06.12.2019,05:00:00,296.8,16.8,593.6,0
252,SH000198,06.12.2019,05:30:00,296.8,16,593.6,0
253,SH000198,06.12.2019,06:00:00,299.2,16,598.4,0
254,SH000198,06.12.2019,06:30:00,308.8,18.4,617.6,0
255,SH000198,06.12.2019,07:00:00,309.6,17.6,619.2,0
256,SH000198,06.12.2019,07:30:00,315.2,19.2,632,0
257,SH000198,06.12.2019,08:00:00,318.4,19.2,638.4,0
258,SH000198,06.12.2019,08:30:00,320.8,19.2,641.6,0
259,SH000198,06.12.2019,09:00:00,323.2,20,648,0
260,SH000198,06.12.2019,09:30:00,324.8,20,652.8,0
261,SH000198,06.12.2019,10:00:00,326.4,20.8,656,0
262,SH000198,06.12.2019,10:30:00,336,22.4,673.6,0
263,SH000198,06.12.2019,11:00:00,338.4,22.4,678.4,0
264,SH000198,06.12.2019,11:30:00,339.2,24,680,0
265,SH000198,06.12.2019,12:00:00,340.8,24,683.2,0
266,SH000198,06.12.2019,12:30:00,341.6,24,684.8,0
267,SH000198,06.12.2019,13:00:00,341.6,24.8,686.4,0
268,SH000198,06.12.2019,13:30:00,342.4,24,686.4,0
269,SH000198,06.12.2019,14:00:00,344,24,688,0
270,SH000198,06.12.2019,14:30:00,355.2,41.6,716.8,0
271,SH000198,06.12.2019,15:00:00,352,42.4,710.4,0
272,SH000198,06.12.2019,15:30:00,352.8,43.2,710.4,0
273,SH000198,06.12.2019,16:00:00,353.6,44,712,0
274,SH000198,06.12.2019,16:30:00,356,48.8,718.4,0
275,SH000198,06.12.2019,17:00:00,356,48.8,720,0
276,SH000198,06.12.2019,17:30:00,356,48.8,718.4,0
277,SH000198,06.12.2019,18:00:00,356.8,48,720,0
278,SH000198,06.12.2019,18:30:00,346.4,37.6,696,0
279,SH000198,06.12.2019,19:00:00,348,40,702.4,0
280,SH000198,06.12.2019,19:30:00,355.2,44,716.8,0
281,SH000198,06.12.2019,20:00:00,352,44,710.4,0
282,SH000198,06.12.2019,20:30:00,349.6,40.8,704,0
283,SH000198,06.12.2019,21:00:00,352,39.2,710.4,0
284,SH000198,06.12.2019,21:30:00,355.2,41.6,715.2,0
285,SH000198,06.12.2019,22:00:00,350.4,40.8,707.2,0
286,SH000198,06.12.2019,22:30:00,350.4,40.8,705.6,0
287,SH000198,06.12.2019,23:00:00,342.4,35.2,688,0
288,SH000198,06.12.2019,23:30:00,346.4,39.2,697.6,0
289,SH000198,07.12.2019,00:00:00,338.4,37.6,681.6,0
290,SH000198,07.12.2019,00:30:00,333.6,37.6,672,0
291,SH000198,07.12.2019,01:00:00,324.8,34.4,654.4,0
292,SH000198,07.12.2019,01:30:00,320,32.8,643.2,0
293,SH000198,07.12.2019,02:00:00,318.4,34.4,640,0
294,SH000198,07.12.2019,02:30:00,306.4,29.6,616,0
295,SH000198,07.12.2019,03:00:00,316.8,34.4,636.8,0
296,SH000198,07.12.2019,03:30:00,301.6,26.4,606.4,0
297,SH000198,07.12.2019,04:00:00,316.8,36,638.4,0
298,SH000198,07.12.2019,04:30:00,304.8,29.6,612.8,0
299,SH000198,07.12.2019,05:00:00,304.8,29.6,612.8,0
300,SH000198,07.12.2019,05:30:00,317.6,36,641.6,0
301,SH000198,07.12.2019,06:00:00,304.8,26.4,614.4,0
302,SH000198,07.12.2019,06:30:00,324,36,652.8,0
303,SH000198,07.12.2019,07:00:00,326.4,35.2,657.6,0
304,SH000198,07.12.2019,07:30:00,329.6,33.6,662.4,0
305,SH000198,07.12.2019,08:00:00,336,37.6,676.8,0
306,SH000198,07.12.2019,08:30:00,330.4,31.2,665.6,0
307,SH000198,07.12.2019,09:00:00,337.6,38.4,678.4,0
308,SH000198,07.12.2019,09:30:00,348.8,44,704,0
